PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time, x
-74.9799,278.692,1034,1492,1500,0,-13.0943,156.883,2.1147,28022,0.905
-91.7791,283.329,1033,1476,1500,0,-12.5915,158.264,2.10936,28122,0.905
-102.485,285.764,1032,1479,1500,0,-11.7081,159.182,2.11665,28222,0.905
-129.659,287.965,1035,1479,1500,0,-11.4041,159.733,2.12796,28322,0.905
-137.108,291.29,1024,1477,1500,0,-10.7608,160.34,2.12928,28422,0.947
-140.974,292.595,1031,1479,1500,0,-9.98167,160.327,2.12491,28522,0.988
-150.138,287.686,1031,1473,1500,0,-8.34634,160.358,2.12377,28622,0.988
-163.143,286.957,1028,1473,1500,0,-6.14284,160.509,2.14162,28722,0.988
-174.464,285.918,1027,1467,1500,0,-3.67482,160.783,2.14998,28822,0.988
-183.6,286.486,1026,1467,1500,0,-0.615354,160.396,2.16935,28922,1.054
-205.59,271.712,1016,1467,1500,0,3.70169,159.684,2.18113,29022,1.054
-226.597,258.542,1011,1450,1500,0,7.33689,159.268,2.18333,29122,1.054
-244.434,248.745,1004,1450,1500,0,9.27955,158.709,2.18833,29223,1.054
-246.838,232.194,1001,1463,1500,0,9.55313,157.511,2.16254,29323,1.054
-257.676,225.583,1008,1454,1500,0,9.51335,156.363,2.15778,29423,1.054
-234.191,228.381,1006,1453,1500,0,8.521,154.947,2.13015,29523,1.054
-215.738,226.045,1003,1486,1500,0,6.17768,153.751,2.14396,29623,1.054
-201.315,221.102,995,1483,1500,0,4.59536,153.677,2.1562,29723,1.293
-169.025,198.848,969,1483,1500,0,2.79684,153.626,2.14478,29823,1.33
-108.572,157.677,914,1536,1500,0,2.02032,153.859,2.15014,29923,1.367
-82.2859,128.66,884,1510,1605,0,1.80696,154.363,2.13884,30023,1.405
-62.0817,99.604,859,1510,1605,0,1.66983,154.526,2.13194,30123,1.424
-28.2998,48.2813,807,1508,1605,0,1.367,155.471,2.14522,30223,1.452
-17.4374,23.1012,785,1507,1605,0,1.45671,156.281,2.13429,30323,1.457
-11.2453,-0.72329,765,1504,1605,0,1.41064,156.73,2.11927,30423,1.499
-7.14609,-15.7027,747,1504,1605,0,1.02354,156.755,2.12616,30524,1.508
5.31671,-50.6193,715,1503,1605,0,0.643368,157.319,2.11946,30624,1.522
10.0256,-63.4297,699,1512,1605,0,-0.0461358,158.406,2.12725,30724,1.532
14.7809,-81.1265,681,1507,1605,0,-0.342897,159.502,2.10556,30824,1.546
22.3308,-112.603,651,1510,1605,0,0.16127,159.633,2.11305,30925,1.56
25.527,-120.704,645,1510,1605,0,0.266157,159,2.11483,31025,1.569
26.1146,-107.327,660,1505,1605,0,0.434508,158.11,2.11394,31125,1.583
26.2496,-91.3405,674,1504,1605,0,0.539055,157.376,2.10094,31225,1.583
26.8278,-72.7508,694,1504,1605,0,0.167663,156.582,2.09269,31325,1.588
29.3168,-26.3322,744,1505,1605,0,-0.149993,155.5,2.09241,31425,1.578
28.4063,3.36767,773,1504,1605,0,-0.502015,154.898,2.09593,31525,1.56
29.4431,36.1835,805,1506,1605,0,-0.716162,154.531,2.08451,31625,1.517
32.9713,70.5945,842,1509,1605,0,-0.721156,154.44,2.08523,31725,1.513
39.9032,139.248,911,1512,1605,0,-1.08824,154.813,2.08105,31825,1.494
46.3953,175.973,942,1513,1605,0,-1.67166,155.103,2.09134,31926,1.485
53.3504,200.947,975,1515,1500,0,-1.21724,155.857,2.07231,32026,1.461
75.3564,246.436,1020,1531,1500,0,-1.59164,157.552,2.06847,32126,1.461
93.2926,263.7,1032,1531,1500,0,-0.604888,160.335,2.08373,32227,1.461
119.043,269.917,1045,1541,1500,0,-1.53856,163.123,2.06026,32327,1.461
139.341,275.359,1048,1539,1500,0,-2.63247,164.781,2.06091,32427,1.48
164.236,274.536,1052,1539,1500,0,-1.92188,166.179,2.07013,32527,1.499
205.617,274.676,1059,1547,1500,0,-0.857232,166.832,2.08108,32627,1.503
217.85,290.457,1067,1545,1500,0,-0.133369,167.366,2.10334,32727,1.503
217.829,292.827,1071,1534,1500,0,0.210412,168.019,2.10266,32827,1.503
218.518,297.717,1072,1535,1500,0,-0.0155825,168.314,2.09842,32927,1.583
213.8,296.141,1067,1530,1500,0,-0.331031,168.207,2.10679,33027,1.644
211.428,291.444,1060,1531,1500,0,-0.585524,168.318,2.10748,33127,1.677
